Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
0.0,Sat Mar 17 20:02:01 +0000 2018,0.0,1.0,0.0,"These seven celebrities are about to go on the journey of a lifetime... #Pilgrimage
https://t.co/m45UBXJew2",68,@BBC
0.0,Sat Mar 17 19:21:02 +0000 2018,0.0,1.0,0.0,Can we just take a moment to discuss Eddie Redmanyne's coats?https://t.co/odVkhWyRKs,69,@BBC
0.0,Sat Mar 17 18:32:01 +0000 2018,0.0,1.0,0.0,"Ouch! ??@GordonRamsay's daughter is hilarious... 
https://t.co/0dqwntX5uj",70,@BBC
0.3612,Sat Mar 17 18:03:04 +0000 2018,0.0,0.857,0.143,"?1?2?3?Sir David Attenborough explores whether there is counting in the natural world. 

David Attenborough's Natur… https://t.co/Q4H4uXR4pt",71,@BBC
0.3182,Sat Mar 17 17:30:07 +0000 2018,0.0,0.901,0.099,One of the writers for The Simpsons has told @BBCNewsbeat Stephen Hawking was such a big fan of the show - he'd sho… https://t.co/Jjer3V4cYk,72,@BBC
0.4767,Sat Mar 17 17:00:08 +0000 2018,0.0,0.785,0.215,"?? 'The moment I gave Reese Witherspoon my Legally Blonde dissertation... and yes, it was scented.'
?… https://t.co/z8x5mqqKoW",73,@BBC
0.0,Sat Mar 17 16:39:39 +0000 2018,0.0,1.0,0.0,RT @BBCWorld: Blossom in south-west China captured by drone https://t.co/gIDKUn1La6,74,@BBC
0.0,Sat Mar 17 15:03:12 +0000 2018,0.0,1.0,0.0,"This year, over 250 landmarks across the globe are going green for #StPatricksDay! ? https://t.co/TlWqU0TXQT https://t.co/i4sW4OaGrQ",75,@BBC
0.0,Sat Mar 17 14:43:43 +0000 2018,0.0,1.0,0.0,"RT @BBCRadio3: ""Even if we found a complete theory of the universe, it wouldn't remove the need for music"" - #StephenHawking
https://t.co/t…",76,@BBC
0.8625,Sat Mar 17 14:00:30 +0000 2018,0.0,0.699,0.301,??? George has autism and other health conditions - but his love of skiing is helping him take on the outside world. https://t.co/kfCzRzkcNY,77,@BBC
0.3628,Sat Mar 17 13:46:15 +0000 2018,0.073,0.784,0.143,"RT @5liveSport: 'My mates didn't know I was playing @realmadrid'

@ManUtd's @carras16 tells @ColinMurray his friends keep him grounded…

'A…",78,@BBC
0.4019,Sat Mar 17 13:00:08 +0000 2018,0.0,0.881,0.119,"Yes, Gary Oldman and @BBCEastEnders' Big Mo are brother and sister. 

But do you know these other celeb family ties… https://t.co/dtzMwD3nBB",79,@BBC
-0.7244,Sat Mar 17 12:39:41 +0000 2018,0.336,0.664,0.0,"RT @BBCOne: .@NiallOfficial won't let fame get to his head - Ireland won't allow it. 

Happy #StPatricksDay ? https://t.co/OrWR94HStF",80,@BBC
0.5106,Sat Mar 17 12:00:09 +0000 2018,0.112,0.643,0.245,??? This shop encourages you to bring your own container from home to save on single-use plastic waste. https://t.co/TdHJSycKtO,81,@BBC
0.8883,Sat Mar 17 11:30:09 +0000 2018,0.0,0.488,0.512,?? ? Celebrate #StPatricksDay in true Irish style with these delicious recipes! ?https://t.co/2MCMlz6K0B https://t.co/k18P3Syx2N,82,@BBC
0.6249,Sat Mar 17 11:03:05 +0000 2018,0.0,0.796,0.204,From scrambled eggs to chilli-spiced crisps: here are six great ways to cook with kale. ??https://t.co/lqKD1h83Iv https://t.co/yWESBJm62q,83,@BBC
0.6996,Sat Mar 17 10:14:25 +0000 2018,0.066,0.658,0.276,RT @BBCTwo: Happy #StPatricksDay! Check out what's lurking beneath the calm waters of Ireland's west coast... ??? https://t.co/6MQgyLTlIr,84,@BBC
0.0,Sat Mar 17 10:00:02 +0000 2018,0.0,1.0,0.0,"?? Did you know that bullfinches can learn to sing a tune by mimicking humans?

? Sound on for this one!  https://t.co/44OFulioZp",85,@BBC
-0.7717,Sat Mar 17 09:39:19 +0000 2018,0.251,0.749,0.0,"RT @BBCEngland: Stephen Hawking's PhD thesis has been viewed 250,000 times online since news of his death broke on Wednesday, the Universit…",86,@BBC
0.6369,Sat Mar 17 09:00:06 +0000 2018,0.0,0.714,0.286,"Ready to get active?
? Here are 5 ways you can get involved in #SportRelief2018. 
? https://t.co/wmKUWBDBjp https://t.co/xr7g5Hw4PK",87,@BBC
0.7783,Fri Mar 16 19:38:34 +0000 2018,0.0,0.726,0.274,"RT @BBCR1: This guy just raised over a million pounds for @sportrelief ??

Congratulations on completing a truly mammoth task @gregjames, w…",88,@BBC
0.4926,Fri Mar 16 18:31:01 +0000 2018,0.0,0.61,0.39,???? Keepy-uppy the good work! https://t.co/lFtKEBxjNJ,89,@BBC
0.5719,Fri Mar 16 17:00:25 +0000 2018,0.0,0.791,0.209,??? Bradley has never let Asperger's hold him back from doing what he loves. https://t.co/5JFvIXeDSZ,90,@BBC
0.0,Fri Mar 16 16:30:01 +0000 2018,0.0,1.0,0.0,"Running for the door on a Friday afternoon like...
#FridayFeeling https://t.co/optoQcK1TV",91,@BBC
0.0,Fri Mar 16 16:00:00 +0000 2018,0.0,1.0,0.0,??Jarvis Cocker describes the dream-like experience of visiting La Monte Young's Dreamhouse.… https://t.co/O9u7sPRL5m,92,@BBC
